ID1	ID2	score
O16	O5	0.06626506
O16	O6	0.087707373
O16	O7	0.087569826
O16	O8	0.832532
O16	O9	0.073451408
O2	O1	3.649356283
O2	O10	0.259339469
O2	O11	0.099462366
O2	O12	0.059804272
O2	O13	0.064333018
O2	O14	0.104783599
O2	O15	0.067538126
O2	O16	0.075538034
O2	O2	0.065739449
O2	O3	0.071599045
O2	O4	0.064179104
O2	O5	0.07557677
O2	O6	0.06
O2	O7	0.057468241
O2	O8	0.150197628
O2	O9	0.76744186
O3	O1	0.060052219
O3	O10	0.059275807
O3	O11	0.075279392
O3	O12	0.510862453
O3	O13	0.056603774
O3	O14	0.059205014
O3	O15	0.050847458
O3	O16	0.050403226
O3	O2	0.053156146
O3	O3	0.056133974
O3	O4	3.347394381
O3	O5	0.063092111
O3	O6	0.056255248
O3	O7	0.054342883
O3	O8	0.056972395
O3	O9	0.061016949
O4	O1	0.068
O4	O10	0.059343434
O4	O11	1.919104839
O4	O12	0.081130946
O4	O13	0.062888199
O4	O14	0.072243346
O4	O15	0.07289762
O4	O16	0.06
O4	O2	0.057142857
O4	O3	3.749210803
O4	O4	0.060843965
O4	O5	0.069271089
O4	O6	0.068965517
O4	O7	0.058332073
O4	O8	0.056910569
O4	O9	0.066037736
O5	O1	0.054325956
O5	O10	0.0625
O5	O11	0.060402685
O5	O12	0.054837847
O5	O13	0.071767683
O5	O14	0.219838147
O5	O15	0.07095705
O5	O16	0.0625
O5	O2	0.059006211
O5	O3	0.06140254
O5	O4	0.054223149
O5	O5	0.055462342
O5	O6	2.82416011
O5	O7	0.060386826
O5	O8	0.060654712
O5	O9	0.061904762
O6	O1	0.064748201
O6	O10	0.053558327
O6	O11	0.076896879
O6	O12	0.062618596
O6	O13	0.419636381
O6	O14	0.720668545
O6	O15	0.055020229
O6	O16	0.214807091
O6	O2	0.062054934
O6	O3	0.071875
O6	O4	0.085013146
O6	O5	3.52187212
O6	O6	0.059129855
O6	O7	0.068906167
O6	O8	0.160476962
O6	O9	0.088709677
O7	O1	0.057793522
O7	O10	0.048135299
O7	O11	0.06015851
O7	O12	0.052486188
O7	O13	0.056547619
O7	O14	0.12929691
O7	O15	0.097276265
O7	O16	0.065384615
O7	O2	0.047396578
O7	O3	0.055555556
O7	O4	0.056706061
O7	O5	0.070175439
O7	O6	0.053033347
O7	O7	0.053951368
O7	O8	3.265454545
O7	O9	0.059574468
O8	O1	0.068123801
O8	O10	0.059356137
O8	O11	0.076923077
O8	O12	0.089545115
O8	O13	0.186964876
O8	O14	0.068104515
O8	O15	0.081853013
O8	O16	1.060342397
O8	O2	0.069176406
O8	O3	0.080851064
O8	O4	0.071578947
O8	O5	0.086608369
O8	O6	0.111981078
O8	O7	3.618631732
O8	O8	0.066037736
O8	O9	0.079857932
O9	O1	0.079998933
O9	O10	2.849717222
O9	O11	0.052924791
O9	O12	0.053285968
O9	O13	0.059478937
O9	O14	0.060692247
O9	O15	0.058156028
O9	O16	0.057094878
O9	O2	0.096667812
O9	O3	0.062773072
O9	O4	0.05833288
O9	O5	0.05359179
O9	O6	0.068758954
O9	O7	0.053061224
O9	O8	0.063910903
O9	O9	0.058201058
