ID1,ID2,score_bc7,RD_Tm,score,Tm,norm_sd_RD,cv_RD
O11-bA,O7-bA,25.30010083,32.00086256,39.30231654,32.00086256,0.670409468,0.549887486
O11-bA,O8-bA,26.59603752,29.84817869,25.17706491,29.84817869,0.672200397,0.614191548
O11-bA,O9-bA,16.02443752,31.87761359,19.82228388,31.87761359,0.627602547,0.517966833
O12-bA,O12-bA,-9.125635862,33.32429858,31.79495513,33.32429858,0.800016114,0.614068264
O12-bA,O13-bA,18.51956414,35.6644552,32.36461801,35.6644552,0.540694586,0.369076706
O12-bA,O14-bA,22.55780083,32.55288578,40.36916693,32.55288578,0.653180529,0.521131677
O12-bA,O15-bA,22.55780083,33.6774901,39.30231654,33.6774901,0.701931624,0.529325147
O12-bA,O16-bA,18.51956414,35.20878388,31.29776762,35.20878388,0.766603123,0.535373338
O12-bA,O2-bA,-16.95493586,29.31648799,20.01854267,29.31648799,0.856334095,0.803572475
O12-bA,O3-bA,33.12940083,43.61990947,45.72394796,43.61990947,1.310370956,0.600262371
O12-bA,O4-bA,29.09116414,46.15773147,37.71939904,46.15773147,1.461593211,0.589543988
O12-bA,O5-bA,22.55780083,37.73912578,40.36916693,37.73912578,1.339032479,0.823726375
O12-bA,O6-bA,18.51956414,37.99525122,32.36461801,37.99525122,0.977796261,0.593831862
O12-bA,O7-bA,18.51956414,34.21454995,31.29776762,34.21454995,0.745766381,0.54744043
O12-bA,O8-bA,25.30010083,33.00541304,39.30231654,33.00541304,0.721195978,0.562489545
O12-bA,O9-bA,25.30010083,37.48138707,33.94753551,37.48138707,1.268385986,0.790414974
O13-bA,O13-bA,-9.125635862,25.9818284,33.55119572,25.9818284,0.445988038,0.494666044
O13-bA,O14-bA,71.34620083,48.04238497,53.40463247,48.04238497,2.147479678,0.788103644
O13-bA,O15-bA,35.87170083,39.13018379,33.94753551,39.13018379,1.115102325,0.639761996
O13-bA,O16-bA,7.947964138,27.10131606,25.94298659,27.10131606,0.504080858,0.528583955
